"","-","0","+"
"Bivalves",712,0,288
"D piscivores",289,0,711
"Detritus",445,0,555
"Discards",481,0,519
"Fishery",866,0,134
"Gelatinous zoop",666,0,334
"L benthivores",331,0,669
"Large pelagics",241,0,759
"Macrozoop",542,0,458
"Megabenthos",375,0,625
"Meiofauna",425,0,575
"Mesozoop",335,0,665
"Microflora",614,0,386
"Microzoop",536,0,464
"Other molluscs",390,0,610
"Other pelagic mesopelagic",663,0,337
"Phytoplankton",361,0,639
"Sea birds",362,0,638
"Seals",666,0,334
"Sharks",119,0,881
"Shrimps",736,0,264
"Skates",424,0,576
"Small crab other arthropoda",695,0,305
"Small pelagics",277,0,723
"Squids",836,0,164
"Toothed cetaceans",220,0,780
"Whales",358,0,642
"Worms",432,0,568
