"","-","0","+"
"Bivalves",96,776,128
"D piscivores",107,777,116
"Detritus",113,779,108
"Discards",123,777,100
"Fishery",109,778,113
"Gelatinous zoop",120,777,103
"L benthivores",83,834,83
"Large pelagics",103,781,116
"Macrozoop",105,781,114
"Megabenthos",112,779,109
"Meiofauna",119,780,101
"Mesozoop",104,782,114
"Microflora",126,781,93
"Microzoop",102,782,116
"Other molluscs",118,777,105
"Other pelagic mesopelagic",108,785,107
"Phytoplankton",88,806,106
"Sea birds",99,798,103
"Seals",0,0,1000
"Sharks",110,777,113
"Shrimps",112,775,113
"Skates",117,774,109
"Small crab other arthropoda",100,777,123
"Small pelagics",106,777,117
"Squids",132,777,91
"Toothed cetaceans",106,777,117
"Whales",113,777,110
"Worms",114,777,109
