"","-","0","+"
"Bivalves",270,409,321
"D piscivores",258,479,263
"Detritus",246,497,257
"Discards",264,489,247
"Fishery",0,0,1000
"Gelatinous zoop",273,466,261
"L benthivores",280,440,280
"Large pelagics",1000,0,0
"Macrozoop",198,611,191
"Megabenthos",1000,0,0
"Meiofauna",245,502,253
"Mesozoop",218,577,205
"Microflora",255,496,249
"Microzoop",245,500,255
"Other molluscs",304,379,317
"Other pelagic mesopelagic",288,431,281
"Phytoplankton",190,606,204
"Sea birds",239,497,264
"Seals",0,0,1000
"Sharks",1000,0,0
"Shrimps",304,399,297
"Skates",1000,0,0
"Small crab other arthropoda",247,489,264
"Small pelagics",221,517,262
"Squids",230,515,255
"Toothed cetaceans",1000,0,0
"Whales",210,563,227
"Worms",237,506,257
