"","-","0","+"
"Bivalves",893,0,107
"D piscivores",1000,0,0
"Detritus",602,0,398
"Discards",398,0,602
"Fishery",893,0,107
"Gelatinous zoop",507,0,493
"L benthivores",507,0,493
"Large pelagics",331,0,669
"Macrozoop",1000,0,0
"Megabenthos",893,0,107
"Meiofauna",602,0,398
"Mesozoop",1000,0,0
"Microflora",398,0,602
"Microzoop",209,0,791
"Other molluscs",852,0,148
"Other pelagic mesopelagic",684,0,316
"Phytoplankton",1000,0,0
"Sea birds",734,0,266
"Seals",625,0,375
"Sharks",389,0,611
"Shrimps",527,0,473
"Skates",629,0,371
"Small crab other arthropoda",602,0,398
"Small pelagics",525,0,475
"Squids",511,0,489
"Toothed cetaceans",316,0,684
"Whales",1000,0,0
"Worms",602,0,398
