"","-","0","+"
"Bivalves",55,878,67
"D piscivores",20,959,21
"Detritus",16,976,8
"Discards",12,979,9
"Fishery",46,910,44
"Gelatinous zoop",68,864,68
"L benthivores",67,899,34
"Large pelagics",0,0,1000
"Macrozoop",58,909,33
"Megabenthos",58,881,61
"Meiofauna",15,971,14
"Mesozoop",67,866,67
"Microflora",80,857,63
"Microzoop",62,863,75
"Other molluscs",0,1000,0
"Other pelagic mesopelagic",75,860,65
"Phytoplankton",55,878,67
"Sea birds",0,1000,0
"Seals",0,0,1000
"Sharks",48,888,64
"Shrimps",7,983,10
"Skates",56,883,61
"Small crab other arthropoda",9,979,12
"Small pelagics",0,0,1000
"Squids",59,871,70
"Toothed cetaceans",42,894,64
"Whales",55,883,62
"Worms",17,972,11
