,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,
1,Whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,"Toothed cetaceans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Seals,0,0,0,0,0.006511993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,"Sea birds",0,0,0,0.002663992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,"Large pelagic",0,0,0,0,0,0.002219998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,"Cod <1",1.6E-05,0.003592996,0.0009569991,9.999969E-07,0.0001319999,0.001049999,0,0.0007160007,0.001558998,0.001558998,0,0,0.000295,0,0.003765996,0.003765996,6.291019E-05,0,0.0004049996,0.0003039997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,"Cod 1-3",0,0.02591697,0.04165296,0,0.02413597,0.01885398,0,0,0.003137996,0.003137996,0,0,0,0,0,0,0,0,0.01020899,0.0004519995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,"Cod 4-6",0,0,0,0,0.08408991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,"Cod 7+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,"S Hake <25",0.0042,0.07251193,0.001448999,0.0006099981,0.002265998,0.001566999,0.003104,0.08762508,0.1235458,0.1235458,0.025812,0.104017,0.247549,0.04175304,0.03400496,0.03400496,0.05237934,0.1269779,0.04921795,0.07901892,0.02354798,0.008422001,0.003468997,0.0002389998,0.006747999,0,0.010506,0,0.021143,0,0,0,0.010337,0,0,0,0,0,0,0,0,0.002964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,"S Hake 25-31",0,0.1137679,0.006529994,0,0.006987993,0.03496697,0,0,0.0004499995,0.0004499995,0,0,0,0,0.1216279,0.1216279,0,0,0,0.02597197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,"S Hake 31+",0,0.02038298,0.01144399,0,0.0006689993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,"Halibut <46",0,0,0.001625999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,"Halibut 46-81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,"Halibut 82+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,"Pollock <49",0.000586,0.001667998,0.06197794,7.599976E-05,0,0.001342999,0,1.000001E-06,0.0006599992,0.0006599992,0,0,0,0,0,0,0.0005507186,0.0003109997,0,0.02802797,0,0,0,0.002293998,0,0,0,0,0,0,0,0,0.004217,0,0,0,0,0,0,0,0,0.000136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
